Luke Willson,16,0,0,0,0,0,383,2,0,0,0,50.30
Lance Kendricks,16,0,0,0,0,0,378,2,0,0,0,49.80
Larry Donnell,16,0,0,0,0,0,372,2,0,0,0,49.20
Hunter Henry,16,0,0,0,0,0,372,2,0,0,0,49.20
Richard Rodgers,16,0,0,0,0,0,309,3,0,0,0,48.90
Tyrell Williams,16,0,0,0,0,0,365,2,0,0,0,48.50
Jimmy Garoppolo,16,841,5,4,41,0,0,0,0,0,1,47.74
Marcel Reece,14,5,0,0,51,0,301,2,0,0,0,47.40
Spencer Ware,16,0,0,0,263,3,31,0,0,0,0,47.40
Khiry Robinson,16,0,0,0,305,2,66,0,0,0,1,47.10
Jordan Norwood,16,0,0,0,0,0,368,2,0,0,1,46.80
C.J. Spiller,16,0,0,0,133,1,215,1,0,0,0,46.80
Josh Doctson,16,0,0,0,0,0,344,2,0,0,0,46.40
Ronnie Hillman,16,0,0,0,212,1,132,1,0,0,0,46.40
Anthony Fasano,16,0,0,0,0,0,328,2,0,0,0,44.80
Gavin Escobar,16,0,0,0,0,0,325,2,0,0,0,44.50
Andre Holmes,16,0,0,0,0,0,324,2,0,0,0,44.40
Tyler Higbee,16,0,0,0,0,0,321,2,0,0,0,44.10
Darren Fells,16,0,0,0,0,0,319,2,0,0,0,43.90
Adam Humphries,16,0,0,0,0,0,378,1,0,0,0,43.80
Robert Turbin,16,0,0,0,294,1,102,0,0,0,1,43.60
Brandon Bolden,16,0,0,0,177,1,127,1,0,0,0,42.40
Devin Hester,16,5,0,0,7,0,313,2,0,0,1,42.20
Brent Celek,16,0,0,0,0,0,298,2,0,0,0,41.80
Denard Robinson,16,0,0,0,192,2,100,0,0,0,0,41.20
Tajae Sharpe,16,0,0,0,0,0,351,1,0,0,0,41.10
Ka'Deem Carey,16,0,0,0,314,1,51,0,0,0,1,40.50
Quincy Enunwa,16,0,0,0,0,0,344,1,0,0,0,40.40
Terrelle Pryor,16,0,0,0,34,0,246,2,0,0,0,40.00
Alfred Morris,16,0,0,0,249,1,88,0,0,0,0,39.70
